ID polarity MAE
01 Chosen polarity: negative,  MAE=18.70 bpm
02 Chosen polarity: positive,  MAE=24.25 bpm
03 Chosen polarity: positive,  MAE=11.82 bpm
04 Chosen polarity: positive,  MAE=25.64 bpm
05 Chosen polarity: negative,  MAE=19.66 bpm
06 Chosen polarity: positive,  MAE=28.67 bpm
07 Chosen polarity: positive,  MAE=25.45 bpm
08 Chosen polarity: negative,  MAE=19.92 bpm
09 Chosen polarity: positive,  MAE=18.50 bpm
10 Chosen polarity: negative,  MAE=26.66 bpm
11 Chosen polarity: positive,  MAE=22.00 bpm
12 Chosen polarity: negative,  MAE=23.45 bpm
13 Chosen polarity: negative,  MAE=28.94 bpm
14 Chosen polarity: negative,  MAE=21.22 bpm
15 Chosen polarity: positive,  MAE=17.91 bpm
16 Chosen polarity: positive,  MAE=20.99 bpm
17 Chosen polarity: negative,  MAE=25.33 bpm
18 Chosen polarity: negative,  MAE=22.51 bpm
19 Chosen polarity: positive,  MAE=36.35 bpm
20 Chosen polarity: negative,  MAE=25.51 bpm
21 Chosen polarity: positive,  MAE=22.22 bpm
22 Chosen polarity: positive,  MAE=28.68 bpm
23 Chosen polarity: positive,  MAE=34.82 bpm
24 Chosen polarity: positive,  MAE=24.88 bpm
25 Chosen polarity: negative,  MAE=23.26 bpm
26 Chosen polarity: positive,  MAE=26.38 bpm
27 Chosen polarity: positive,  MAE=25.70 bpm
28 Chosen polarity: negative,  MAE=26.59 bpm
29 Chosen polarity: negative,  MAE=23.08 bpm
30 Chosen polarity: negative,  MAE=23.45 bpm
31 Chosen polarity: negative,  MAE=24.59 bpm
32 Chosen polarity: negative,  MAE=24.14 bpm
33 Chosen polarity: negative,  MAE=25.60 bpm
34 Chosen polarity: positive,  MAE=28.64 bpm
35 Chosen polarity: negative,  MAE=19.72 bpm
36 Chosen polarity: positive,  MAE=35.63 bpm
37 Chosen polarity: negative,  MAE=23.61 bpm
38 Chosen polarity: negative,  MAE=26.52 bpm
39 Chosen polarity: negative,  MAE=28.95 bpm
40 Chosen polarity: positive,  MAE=20.20 bpm
41 Chosen polarity: negative,  MAE=26.23 bpm
42 Chosen polarity: negative,  MAE=26.24 bpm
43 Chosen polarity: negative,  MAE=21.74 bpm
44 Chosen polarity: negative,  MAE=22.61 bpm
45 Chosen polarity: positive,  MAE=20.82 bpm
46 Chosen polarity: negative,  MAE=20.03 bpm
47 Chosen polarity: positive,  MAE=26.45 bpm
48 Chosen polarity: positive,  MAE=21.31 bpm
49 Chosen polarity: negative,  MAE=25.50 bpm
50 Chosen polarity: negative,  MAE=30.28 bpm
51 Chosen polarity: negative,  MAE=23.51 bpm
52 Chosen polarity: negative,  MAE=21.53 bpm
53 Chosen polarity: positive,  MAE=22.65 bpm

